line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.163374270000000E+08    1.500000  0.660190  3.851450  0.7200000E+00  0.2660000E+00  2.2653050E-03  3.6311680E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0658  3.851450    0.000  1.926960  7.257810  0.7169106E+00  0.2687444E+00  1.5205210E-05  4.1660800E-06  3.3272380E-03  5.6750010E-03  2.1432170E-05  1.8971350E-08  1.7888690E-03  2.4320250E-04  0.000E+00  1.523E-04  1.523E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.50E+02  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  2  0.606312520000000E+08    1.500000  0.666540  3.853190  0.7199960E+00  0.2660000E+00  2.2653050E-03  3.6312210E-05  6.5629940E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0665  3.853190    0.000  1.929680  7.261000  0.7085839E+00  0.2770655E+00  1.4670520E-05  4.0245530E-06  3.3261420E-03  5.6170120E-03  8.5339190E-05  2.1909420E-08  1.7888720E-03  2.4320270E-04  0.000E+00  2.520E-05  1.590E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  2.48E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  3  0.100241360000000E+09    1.500000  0.670190  3.853420  0.7199798E+00  0.2660004E+00  2.2652650E-03  3.6353260E-05  6.5630250E-04  5.6906390E-03  3.8202360E-06  1.2841160E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0674  3.853420    0.000  1.933490  7.262730  0.7007684E+00  0.2848781E+00  1.4781880E-05  4.0553360E-06  3.3256230E-03  5.5571690E-03  1.4902450E-04  3.8575340E-08  1.7888160E-03  2.4319490E-04  0.000E+00  2.012E-05  1.624E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.99E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  4  0.143020280000000E+09    1.500000  0.673730  3.853410  0.7199471E+00  0.2660055E+00  2.2647610E-03  3.6833360E-05  6.5638700E-04  5.6906390E-03  3.8202480E-06  1.2840850E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0679  3.853410    0.000  1.937250  7.264280  0.6926636E+00  0.2929807E+00  1.4855170E-05  4.0754740E-06  3.3269510E-03  5.4951970E-03  2.1234590E-04  5.5216030E-08  1.7886800E-03  2.4317640E-04  0.000E+00  1.750E-05  1.571E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.74E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  5  0.188968010000000E+09    1.500000  0.677260  3.853340  0.7198951E+00  0.2660239E+00  2.2621730E-03  3.8805710E-05  6.5731960E-04  5.6906390E-03  3.8203370E-06  1.2838990E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0689  3.853340    0.000  1.940700  7.265850  0.6844830E+00  0.3011586E+00  1.4894730E-05  4.0868540E-06  3.3306760E-03  5.4346450E-03  2.7204420E-04  7.0890820E-08  1.7886790E-03  2.4317560E-04  0.000E+00  1.582E-05  1.486E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.58E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  6  0.233331330000000E+09    1.500000  0.680860  3.853320  0.7198293E+00  0.2660577E+00  2.2557730E-03  4.2462850E-05  6.6090610E-04  5.6906390E-03  3.8206610E-06  1.2833430E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0697  3.853320    0.000  1.944420  7.267450  0.6765781E+00  0.3090623E+00  1.5005080E-05  4.1172480E-06  3.3359130E-03  5.3729620E-03  3.3022660E-04  8.6318230E-08  1.7885430E-03  2.4315690E-04  0.000E+00  1.471E-05  1.409E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.47E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  7  0.279279060000000E+09    1.500000  0.684540  3.853290  0.7197472E+00  0.2661084E+00  2.2443880E-03  4.7436620E-05  6.6890640E-04  5.6906380E-03  3.8214970E-06  1.2821430E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0706  3.853290    0.000  1.948280  7.269130  0.6682442E+00  0.3173946E+00  1.5133840E-05  4.1527170E-06  3.3439840E-03  5.3049280E-03  3.9209310E-04  1.0279490E-07  1.7884780E-03  2.4314770E-04  0.000E+00  1.383E-05  1.339E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.39E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  8  0.323642380000000E+09    1.500000  0.688040  3.853240  0.7196572E+00  0.2661699E+00  2.2296010E-03  5.2663410E-05  6.8060800E-04  5.6906370E-03  3.8229920E-06  1.2803110E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0714  3.853240    0.000  1.951920  7.270750  0.6602287E+00  0.3254087E+00  1.5271170E-05  4.1905690E-06  3.3544330E-03  5.2376260E-03  4.5059200E-04  1.1844610E-07  1.7884690E-03  2.4314670E-04  0.000E+00  1.313E-05  1.279E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.32E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
