line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.274994770000000E+08    1.100000  0.064670  3.779490  0.7200000E+00  0.2660000E+00  2.2653050E-03  3.6311680E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0107  3.779490    0.000  1.923740  7.161380  0.7168335E+00  0.2688038E+00  5.3991520E-05  1.8611160E-05  3.2625690E-03  5.6898550E-03  4.7330130E-06  5.9432720E-06  1.7888690E-03  2.4320250E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  2  0.107583980000000E+09    1.100000  0.069900  3.780000  0.7208153E+00  0.2652066E+00  2.2604140E-03  3.6225260E-05  6.5497410E-04  5.6797570E-03  3.8123930E-06  1.2812960E-05  1.7857620E-03  2.4272880E-04  0.000E+00  0.0000  3.780000    0.000  1.933610  7.162440  0.7082633E+00  0.2773670E+00  1.1277320E-05  3.0794820E-06  3.3350770E-03  5.6879730E-03  1.0179180E-05  8.7011610E-08  1.7896790E-03  2.4332580E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  3  0.177623610000000E+09    1.100000  0.072510  3.780080  0.7217589E+00  0.2642886E+00  2.2547370E-03  3.6124960E-05  6.5343520E-04  5.6671180E-03  3.8032860E-06  1.2780180E-05  1.7821510E-03  2.4217870E-04  0.000E+00  0.0000  3.780080    0.000  1.938250  7.163360  0.7005416E+00  0.2850827E+00  1.1339350E-05  3.0965010E-06  3.3367230E-03  5.6865390E-03  1.5554390E-05  5.7791150E-09  1.7906060E-03  2.4346730E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  4  0.247835240000000E+09    1.100000  0.074970  3.780170  0.7226979E+00  0.2633750E+00  2.2490680E-03  3.6024860E-05  6.5189840E-04  5.6544930E-03  3.7941920E-06  1.2747460E-05  1.7785420E-03  2.4162910E-04  0.000E+00  0.0000  3.780170    0.000  1.942870  7.164340  0.6927802E+00  0.2928377E+00  1.1395810E-05  3.1120560E-06  3.3383700E-03  5.6849270E-03  2.1215940E-05  4.3488760E-09  1.7915480E-03  2.4361130E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  5  0.327055460000000E+09    1.100000  0.077730  3.780290  0.7237499E+00  0.2623516E+00  2.2427000E-03  3.5912440E-05  6.5017140E-04  5.6403020E-03  3.7839710E-06  1.2710700E-05  1.7744850E-03  2.4101130E-04  0.000E+00  0.0000  3.780290    0.000  1.948140  7.165520  0.6840028E+00  0.3016077E+00  1.1463860E-05  3.1307920E-06  3.3402860E-03  5.6829100E-03  2.7948570E-05  5.7097070E-09  1.7926470E-03  2.4377910E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  6  0.390431640000000E+09    1.100000  0.079920  3.780380  0.7245860E+00  0.2615384E+00  2.2376270E-03  3.5822900E-05  6.4879510E-04  5.6289900E-03  3.7758260E-06  1.2681400E-05  1.7712490E-03  2.4051890E-04  0.000E+00  0.0000  3.780380    0.000  1.952380  7.166490  0.6769630E+00  0.3086413E+00  1.1520030E-05  3.1462630E-06  3.3418550E-03  5.6811030E-03  3.3618340E-05  6.9487650E-09  1.7935490E-03  2.4391650E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  7  0.469651860000000E+09    1.100000  0.082720  3.780500  0.7256244E+00  0.2605284E+00  2.2313120E-03  3.5711480E-05  6.4708140E-04  5.6149020E-03  3.7656840E-06  1.2644940E-05  1.7672190E-03  2.3990570E-04  0.000E+00  0.0000  3.780500    0.000  1.957750  7.167740  0.6681388E+00  0.3174577E+00  1.1592540E-05  3.1662370E-06  3.3438570E-03  5.6785660E-03  4.1088500E-05  8.5997260E-09  1.7947000E-03  2.4409200E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  8  0.533028030000000E+09    1.100000  0.084950  3.780600  0.7264499E+00  0.2597255E+00  2.2262820E-03  3.5622760E-05  6.4571600E-04  5.6036750E-03  3.7576030E-06  1.2615890E-05  1.7640050E-03  2.3941700E-04  0.000E+00  0.0000  3.780600    0.000  1.962080  7.168750  0.6610583E+00  0.3245318E+00  1.1651810E-05  3.1825670E-06  3.3454930E-03  5.6762900E-03  4.7392610E-05  1.0005740E-08  1.7956400E-03  2.4423520E-04  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
