line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.208996030000000E+08    1.350000  0.451600  3.821730  0.7200000E+00  0.2660000E+00  2.2653050E-03  3.6311680E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0338  3.821730    0.000  1.934150  7.224610  0.7169841E+00  0.2686662E+00  1.3631990E-05  3.7300850E-06  3.3298620E-03  5.6845970E-03  1.0705110E-05  1.6900730E-07  1.7888690E-03  2.4320250E-04  0.000E+00  1.126E-04  1.126E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.00E+02  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  2  0.732074170000000E+08    1.350000  0.457940  3.822590  0.7199983E+00  0.2660000E+00  2.2653050E-03  3.6311710E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0309  3.822590    0.000  1.939650  7.227340  0.7087468E+00  0.2769014E+00  1.3545680E-05  3.7097830E-06  3.3287880E-03  5.6590710E-03  3.9570530E-05  9.5051350E-09  1.7889080E-03  2.4320780E-04  0.000E+00  1.782E-05  1.163E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.59E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  3  0.123908360000000E+09    1.350000  0.461380  3.822780  0.7199923E+00  0.2660000E+00  2.2653040E-03  3.6312690E-05  6.5629940E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0313  3.822780    0.000  1.944350  7.229070  0.7006878E+00  0.2849582E+00  1.3635110E-05  3.7344760E-06  3.3278420E-03  5.6330780E-03  6.8956270E-05  1.6882280E-08  1.7890490E-03  2.4322670E-04  0.000E+00  1.481E-05  1.213E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.32E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  4  0.173024890000000E+09    1.350000  0.464430  3.822890  0.7199814E+00  0.2660001E+00  2.2652970E-03  3.6320620E-05  6.5630000E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0312  3.822890    0.000  1.948870  7.230630  0.6927080E+00  0.2929358E+00  1.3721360E-05  3.7583550E-06  3.3271930E-03  5.6053010E-03  9.9892790E-05  2.4707020E-08  1.7891930E-03  2.4324570E-04  0.000E+00  1.323E-05  1.241E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.19E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  5  0.220557030000000E+09    1.350000  0.467340  3.822950  0.7199656E+00  0.2660008E+00  2.2652670E-03  3.6352040E-05  6.5630230E-04  5.6906390E-03  3.8202360E-06  1.2841170E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0310  3.822950    0.000  1.953280  7.232100  0.6848229E+00  0.3008188E+00  1.3797340E-05  3.7793280E-06  3.3268390E-03  5.5756870E-03  1.3220100E-04  3.2916350E-08  1.7892870E-03  2.4325830E-04  0.000E+00  1.223E-05  1.247E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.10E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  6  0.269673560000000E+09    1.350000  0.470340  3.822980  0.7199439E+00  0.2660031E+00  2.2651780E-03  3.6442730E-05  6.5631100E-04  5.6906390E-03  3.8202370E-06  1.2841120E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0309  3.822980    0.000  1.957770  7.233580  0.6768106E+00  0.3088291E+00  1.3874530E-05  3.8005970E-06  3.3269370E-03  5.5452410E-03  1.6488860E-04  4.1267010E-08  1.7893980E-03  2.4327310E-04  0.000E+00  1.145E-05  1.239E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.03E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  7  0.320374500000000E+09    1.350000  0.473450  3.823020  0.7199161E+00  0.2660082E+00  2.2649660E-03  3.6651110E-05  6.5633910E-04  5.6906390E-03  3.8202410E-06  1.2841000E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0309  3.823020    0.000  1.962390  7.235130  0.6686113E+00  0.3170263E+00  1.3958400E-05  3.8237320E-06  3.3275250E-03  5.5131730E-03  1.9869020E-04  4.9956650E-08  1.7895070E-03  2.4328750E-04  0.000E+00  1.081E-05  1.222E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.79E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  8  0.369491040000000E+09    1.350000  0.476470  3.823040  0.7198841E+00  0.2660170E+00  2.2645650E-03  3.7024240E-05  6.5641380E-04  5.6906390E-03  3.8202500E-06  1.2840760E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0309  3.823040    0.000  1.966870  7.236630  0.6606788E+00  0.3249569E+00  1.4043410E-05  3.8471880E-06  3.3286060E-03  5.4808030E-03  2.3211720E-04  5.8599740E-08  1.7896020E-03  2.4329980E-04  0.000E+00  1.032E-05  1.202E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.38E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
