line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.272698180000000E+08    1.250000  0.290490  3.802750  0.7200000E+00  0.2660000E+00  2.2653050E-03  3.6311680E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0187  3.802750    0.000  1.932700  7.198080  0.7169424E+00  0.2687016E+00  1.2678380E-05  3.4749760E-06  3.3303370E-03  5.6881710E-03  6.6618680E-06  1.5993390E-06  1.7888690E-03  2.4320250E-04  0.000E+00  1.241E-04  1.241E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.00E+02  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  2  0.892414370000000E+08    1.250000  0.298030  3.803640  0.7199972E+00  0.2660000E+00  2.2653050E-03  3.6311730E-05  6.5629930E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0117  3.803640    0.000  1.938800  7.200130  0.7086976E+00  0.2769477E+00  1.2559170E-05  3.4349420E-06  3.3307810E-03  5.6751190E-03  2.1248020E-05  4.8108680E-09  1.7887840E-03  2.4319070E-04  0.000E+00  1.663E-05  1.293E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.35E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  3  0.149448800000000E+09    1.250000  0.301340  3.803830  0.7199891E+00  0.2660000E+00  2.2653040E-03  3.6313160E-05  6.5629940E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0115  3.803830    0.000  1.943730  7.201660  0.7006876E+00  0.2849580E+00  1.2636140E-05  3.4562060E-06  3.3297790E-03  5.6618830E-03  3.5972410E-05  8.1691870E-09  1.7887130E-03  2.4318070E-04  0.000E+00  1.388E-05  1.367E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.13E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  4  0.209656170000000E+09    1.250000  0.304340  3.803970  0.7199741E+00  0.2660003E+00  2.2652930E-03  3.6324530E-05  6.5630020E-04  5.6906390E-03  3.8202360E-06  1.2841180E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0107  3.803970    0.000  1.948700  7.203100  0.6925257E+00  0.2931206E+00  1.2781450E-05  3.4957900E-06  3.3286650E-03  5.6472000E-03  5.2169250E-05  1.2078350E-08  1.7886190E-03  2.4316810E-04  0.000E+00  6.716E-06  1.403E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.01E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  5  0.268279130000000E+09    1.250000  0.307100  3.804100  0.7199575E+00  0.2660012E+00  2.2652630E-03  3.6355930E-05  6.5630270E-04  5.6906390E-03  3.8202360E-06  1.2841170E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0101  3.804100    0.000  1.953520  7.204430  0.6843881E+00  0.3012577E+00  1.2851870E-05  3.5154760E-06  3.3278900E-03  5.6315530E-03  6.9626240E-05  1.6318750E-08  1.7886240E-03  2.4316870E-04  0.000E+00  1.013E-05  1.407E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.52E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  6  0.325317690000000E+09    1.250000  0.309810  3.804160  0.7199357E+00  0.2660038E+00  2.2651850E-03  3.6434850E-05  6.5631050E-04  5.6906390E-03  3.8202370E-06  1.2841130E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0096  3.804160    0.000  1.958260  7.205740  0.6763786E+00  0.3092667E+00  1.2917750E-05  3.5336770E-06  3.3272110E-03  5.6151370E-03  8.7775690E-05  2.0736990E-08  1.7886220E-03  2.4316910E-04  0.000E+00  1.005E-05  1.390E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  1.50E+01  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  7  0.382356250000000E+09    1.250000  0.312620  3.804260  0.7199035E+00  0.2660101E+00  2.2649780E-03  3.6637950E-05  6.5633910E-04  5.6906390E-03  3.8202410E-06  1.2841010E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0091  3.804260    0.000  1.963000  7.207070  0.6684091E+00  0.3172359E+00  1.2986750E-05  3.5527200E-06  3.3265570E-03  5.5980810E-03  1.0631370E-04  2.5285380E-08  1.7885770E-03  2.4316300E-04  0.000E+00  1.126E-05  1.365E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  9.24E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
  8  0.440979210000000E+09    1.250000  0.315540  3.804320  0.7198630E+00  0.2660217E+00  2.2645440E-03  3.7036460E-05  6.5642430E-04  5.6906390E-03  3.8202500E-06  1.2840750E-05  1.7888690E-03  2.4320250E-04  0.000E+00  0.0084  3.804320    0.000  1.967980  7.208430  0.6601783E+00  0.3254665E+00  1.3142700E-05  3.5953580E-06  3.3260100E-03  5.5797750E-03  1.2623950E-04  3.0302390E-08  1.7885930E-03  2.4316530E-04  0.000E+00  1.014E-05  1.339E-04  1.000E+00  1.000E+00  0.00E+00  0.00E+00  8.35E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
