line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  9  0.628092300000000E+09    1.100000  0.086700  3.780760  0.7218375E+00  0.2641526E+00  2.2547420E-03  3.6132550E-05  6.5346540E-04  5.6674250E-03  3.8032970E-06  1.2779350E-05  1.7823150E-03  2.4217750E-04  0.000E+00  0.0000  3.780760    0.000  1.968510  7.170130  0.6505135E+00  0.3350665E+00  1.1734360E-05  3.2053060E-06  3.3480660E-03  5.6728040E-03  5.7069470E-05  1.2178660E-08  1.7970970E-03  2.4445700E-04  0.000E+00  5.992E-06  8.538E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.22E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 10  0.691468470000000E+09    1.100000  0.088870  3.780870  0.7219968E+00  0.2639860E+00  2.2537800E-03  3.6121000E-05  6.5320880E-04  5.6653200E-03  3.8017610E-06  1.2773740E-05  1.7817200E-03  2.4208440E-04  0.000E+00  0.0000  3.780870    0.000  1.972940  7.171160  0.6433987E+00  0.3421745E+00  1.1795570E-05  3.2221760E-06  3.3497950E-03  5.6699660E-03  6.4119660E-05  1.3779660E-08  1.7980810E-03  2.4460680E-04  0.000E+00  5.806E-06  8.605E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.10E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 11  0.770688690000000E+09    1.100000  0.091590  3.781020  0.7221969E+00  0.2637758E+00  2.2525610E-03  3.6109010E-05  6.5288430E-04  5.6626550E-03  3.7998170E-06  1.2766640E-05  1.7809670E-03  2.4196660E-04  0.000E+00  0.0000  3.781020    0.000  1.978510  7.172460  0.6344770E+00  0.3510875E+00  1.1873160E-05  3.2435550E-06  3.3520370E-03  5.6660650E-03  7.3419270E-05  1.5908070E-08  1.7993390E-03  2.4479820E-04  0.000E+00  5.645E-06  8.662E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  4.00E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 12  0.834064870000000E+09    1.100000  0.093800  3.781110  0.7223433E+00  0.2636203E+00  2.2516580E-03  3.6103460E-05  6.5264530E-04  5.6606900E-03  3.7983820E-06  1.2761400E-05  1.7804120E-03  2.4187970E-04  0.000E+00  0.0000  3.781110    0.000  1.983010  7.173520  0.6273178E+00  0.3582394E+00  1.1937000E-05  3.2611460E-06  3.3538930E-03  5.6626600E-03  8.1274540E-05  1.7720840E-08  1.8003940E-03  2.4495850E-04  0.000E+00  5.376E-06  8.689E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.81E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 13  0.913285090000000E+09    1.100000  0.096580  3.781220  0.7225326E+00  0.2634192E+00  2.2504780E-03  3.6099570E-05  6.5233380E-04  5.6581270E-03  3.7965130E-06  1.2754570E-05  1.7796870E-03  2.4176650E-04  0.000E+00  0.0000  3.781220    0.000  1.988690  7.174840  0.6183398E+00  0.3672083E+00  1.2016480E-05  3.2830570E-06  3.3562110E-03  5.6578170E-03  9.1635930E-05  2.0128430E-08  1.8016840E-03  2.4515520E-04  0.000E+00  5.348E-06  8.708E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.80E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 14  0.976661260000000E+09    1.100000  0.098830  3.781320  0.7226793E+00  0.2632620E+00  2.2495430E-03  3.6100790E-05  6.5208860E-04  5.6561050E-03  3.7950390E-06  1.2749190E-05  1.7791150E-03  2.4167710E-04  0.000E+00  0.0000  3.781320    0.000  1.993280  7.175920  0.6111336E+00  0.3744070E+00  1.2082350E-05  3.3012110E-06  3.3581400E-03  5.6535850E-03  1.0038790E-04  2.2178530E-08  1.8027410E-03  2.4531620E-04  0.000E+00  5.301E-06  8.711E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.78E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 15  0.105588150000000E+10    1.100000  0.101670  3.781440  0.7228585E+00  0.2630693E+00  2.2483920E-03  3.6107800E-05  6.5178830E-04  5.6536250E-03  3.7932310E-06  1.2742580E-05  1.7784140E-03  2.4156760E-04  0.000E+00  0.0000  3.781440    0.000  1.999080  7.177290  0.6020941E+00  0.3834370E+00  1.2166450E-05  3.3243950E-06  3.3606420E-03  5.6477890E-03  1.1194870E-04  2.4906860E-08  1.8040950E-03  2.4552240E-04  0.000E+00  5.120E-06  8.703E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.66E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 16  0.111925770000000E+10    1.100000  0.103950  3.781530  0.7229988E+00  0.2629179E+00  2.2474780E-03  3.6118270E-05  6.5155210E-04  5.6516700E-03  3.7918060E-06  1.2737370E-05  1.7778610E-03  2.4148130E-04  0.000E+00  0.0000  3.781530    0.000  2.003770  7.178400  0.5948363E+00  0.3906869E+00  1.2235190E-05  3.3433470E-06  3.3627210E-03  5.6427110E-03  1.2172370E-04  2.7230470E-08  1.8052040E-03  2.4569110E-04  0.000E+00  5.039E-06  8.689E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.61E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 17  0.119847790000000E+10    1.100000  0.106870  3.781650  0.7231704E+00  0.2627319E+00  2.2463440E-03  3.6138200E-05  6.5126120E-04  5.6492560E-03  3.7900460E-06  1.2730930E-05  1.7771790E-03  2.4137460E-04  0.000E+00  0.0000  3.781650    0.000  2.009670  7.179790  0.5857315E+00  0.3997815E+00  1.2321880E-05  3.3672500E-06  3.3654290E-03  5.6357740E-03  1.3463320E-04  3.0318410E-08  1.8066220E-03  2.4590690E-04  0.000E+00  4.931E-06  8.669E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.54E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 18  0.126185410000000E+10    1.100000  0.109200  3.781750  0.7232522E+00  0.2626359E+00  2.2457400E-03  3.6168320E-05  6.5111400E-04  5.6480170E-03  3.7891360E-06  1.2727570E-05  1.7768300E-03  2.4131930E-04  0.000E+00  0.0000  3.781750    0.000  2.014460  7.180930  0.5784207E+00  0.4070840E+00  1.2393660E-05  3.3870420E-06  3.3676880E-03  5.6297150E-03  1.4554730E-04  3.2948590E-08  1.8077830E-03  2.4608340E-04  0.000E+00  4.638E-06  8.649E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.34E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 19  0.132523020000000E+10    1.100000  0.111560  3.781850  0.7233805E+00  0.2624958E+00  2.2448670E-03  3.6196170E-05  6.5089530E-04  5.6461870E-03  3.7878020E-06  1.2722680E-05  1.7763130E-03  2.4123840E-04  0.000E+00  0.0000  3.781850    0.000  2.019290  7.182080  0.5710842E+00  0.4144120E+00  1.2466770E-05  3.4072040E-06  3.3700420E-03  5.6231640E-03  1.5701850E-04  3.5729520E-08  1.8089680E-03  2.4626370E-04  0.000E+00  4.623E-06  8.624E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.34E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 20  0.140445040000000E+10    1.100000  0.114530  3.781970  0.7235427E+00  0.2623189E+00  2.2437500E-03  3.6238510E-05  6.5061870E-04  5.6438630E-03  3.7861080E-06  1.2716460E-05  1.7756560E-03  2.4113580E-04  0.000E+00  0.0000  3.781970    0.000  2.025370  7.183530  0.5618779E+00  0.4236073E+00  1.2559500E-05  3.4327760E-06  3.3731320E-03  5.6142420E-03  1.7217460E-04  3.9425490E-08  1.8104860E-03  2.4649430E-04  0.000E+00  4.569E-06  8.592E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.31E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 21  0.146782660000000E+10    1.100000  0.116940  3.782060  0.7236692E+00  0.2621805E+00  2.2428610E-03  3.6279890E-05  6.5040190E-04  5.6420310E-03  3.7847720E-06  1.2711560E-05  1.7751380E-03  2.4105480E-04  0.000E+00  0.0000  3.782060    0.000  2.030290  7.184710  0.5544830E+00  0.4309932E+00  1.2636060E-05  3.4538890E-06  3.3757370E-03  5.6064700E-03  1.8499410E-04  4.2573010E-08  1.8117300E-03  2.4668340E-04  0.000E+00  4.533E-06  8.564E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.29E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 22  0.154704680000000E+10    1.100000  0.119950  3.782150  0.7238239E+00  0.2620108E+00  2.2417530E-03  3.6340970E-05  6.5013640E-04  5.6397680E-03  3.7831230E-06  1.2705500E-05  1.7744990E-03  2.4095490E-04  0.000E+00  0.0000  3.782150    0.000  2.036510  7.186200  0.5452010E+00  0.4402636E+00  1.2733490E-05  3.4807630E-06  3.3791800E-03  5.5959020E-03  2.0193640E-04  4.6757170E-08  1.8133240E-03  2.4692550E-04  0.000E+00  4.480E-06  8.529E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.26E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 23  0.161042300000000E+10    1.100000  0.122390  3.782210  0.7239444E+00  0.2618782E+00  2.2408710E-03  3.6397930E-05  6.4992950E-04  5.6379880E-03  3.7818260E-06  1.2700730E-05  1.7739950E-03  2.4087630E-04  0.000E+00  0.0000  3.782210    0.000  2.041540  7.187400  0.5377436E+00  0.4477114E+00  1.2813250E-05  3.5027660E-06  3.3821040E-03  5.5867130E-03  2.1626590E-04  5.0316920E-08  1.8146320E-03  2.4712420E-04  0.000E+00  4.433E-06  8.499E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.23E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 24  0.167379920000000E+10    1.100000  0.124850  3.782280  0.7240611E+00  0.2617492E+00  2.2399950E-03  3.6463200E-05  6.4972860E-04  5.6362410E-03  3.7805530E-06  1.2696040E-05  1.7735010E-03  2.4079910E-04  0.000E+00  0.0000  3.782280    0.000  2.046630  7.188620  0.5302571E+00  0.4551881E+00  1.2895430E-05  3.5254330E-06  3.3851970E-03  5.5768220E-03  2.3132230E-04  5.4078380E-08  1.8159710E-03  2.4732740E-04  0.000E+00  4.391E-06  8.469E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.21E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 25  0.175301940000000E+10    1.100000  0.127940  3.782370  0.7241958E+00  0.2615988E+00  2.2389470E-03  3.6557120E-05  6.4949710E-04  5.6341900E-03  3.7790590E-06  1.2690520E-05  1.7729220E-03  2.4070850E-04  0.000E+00  0.0000  3.782370    0.000  2.053040  7.190160  0.5208574E+00  0.4645751E+00  1.3000180E-05  3.5543310E-06  3.3893310E-03  5.5634040E-03  2.5121290E-04  5.9073850E-08  1.8176910E-03  2.4758820E-04  0.000E+00  4.334E-06  8.432E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.18E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 26  0.181639560000000E+10    1.100000  0.130440  3.782440  0.7243084E+00  0.2614740E+00  2.2380680E-03  3.6639320E-05  6.4930570E-04  5.6324780E-03  3.7778120E-06  1.2685920E-05  1.7724380E-03  2.4063290E-04  0.000E+00  0.0000  3.782440    0.000  2.058240  7.191420  0.5133027E+00  0.4721194E+00  1.3087150E-05  3.5783220E-06  3.3928790E-03  5.5517560E-03  2.6803220E-04  6.3324550E-08  1.8191040E-03  2.4780250E-04  0.000E+00  4.287E-06  8.402E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.15E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 27  0.187977180000000E+10    1.100000  0.132950  3.782500  0.7244219E+00  0.2613484E+00  2.2371690E-03  3.6728780E-05  6.4911440E-04  5.6307430E-03  3.7765490E-06  1.2681250E-05  1.7719470E-03  2.4055630E-04  0.000E+00  0.0000  3.782500    0.000  2.063480  7.192680  0.5057166E+00  0.4796948E+00  1.3175670E-05  3.6027460E-06  3.3966710E-03  5.5392420E-03  2.8569270E-04  6.7807010E-08  1.8205540E-03  2.4802220E-04  0.000E+00  4.245E-06  8.371E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.13E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 28  0.194314790000000E+10    1.100000  0.135510  3.782570  0.7245360E+00  0.2612225E+00  2.2362550E-03  3.6825190E-05  6.4892440E-04  5.6289940E-03  3.7752770E-06  1.2676550E-05  1.7714530E-03  2.4047910E-04  0.000E+00  0.0000  3.782570    0.000  2.068730  7.193940  0.4980998E+00  0.4873007E+00  1.3265870E-05  3.6276270E-06  3.4007350E-03  5.5258130E-03  3.0422110E-04  7.2529200E-08  1.8220400E-03  2.4824730E-04  0.000E+00  4.203E-06  8.343E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.11E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 29  0.202236820000000E+10    1.100000  0.138690  3.782650  0.7246748E+00  0.2610689E+00  2.2351150E-03  3.6957010E-05  6.4869630E-04  5.6268460E-03  3.7737130E-06  1.2670750E-05  1.7708450E-03  2.4038430E-04  0.000E+00  0.0000  3.782650    0.000  2.075420  7.195550  0.4885341E+00  0.4968522E+00  1.3382840E-05  3.6598990E-06  3.4062440E-03  5.5076450E-03  3.2865670E-04  7.8792820E-08  1.8239530E-03  2.4853690E-04  0.000E+00  4.148E-06  8.306E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.08E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
 30  0.208574430000000E+10    1.100000  0.141250  3.782720  0.7247840E+00  0.2609480E+00  2.2342010E-03  3.7070260E-05  6.4852000E-04  5.6251450E-03  3.7724760E-06  1.2666160E-05  1.7703640E-03  2.4030930E-04  0.000E+00  0.0000  3.782720    0.000  2.080850  7.196860  0.4808429E+00  0.5045317E+00  1.3480300E-05  3.6867890E-06  3.4110420E-03  5.4919080E-03  3.4928750E-04  8.4111540E-08  1.8255300E-03  2.4877540E-04  0.000E+00  4.108E-06  8.277E-05  1.000E+00  1.000E+00  0.00E+00  0.00E+00  3.06E+00  0.000000  0.000000  0.0000000E+00  0.0000000000E+00
